,time_hm,day_pct,vol_pct,days,vol_pct_sum
0,830,0.0077,0.02,120,0.02
1,833,0.0154,0.0144,120,0.0344
2,836,0.0231,0.013,120,0.0474
3,839,0.0308,0.0118,120,0.0592
4,842,0.0385,0.0106,120,0.0698
5,845,0.0462,0.0113,120,0.0811
6,848,0.0538,0.0109,120,0.092
7,851,0.0615,0.01,120,0.102
8,854,0.0692,0.0091,120,0.1111
9,857,0.0769,0.0086,120,0.1197
10,900,0.0846,0.0118,120,0.1315
11,903,0.0923,0.0093,120,0.1408
12,906,0.1,0.0091,120,0.1499
13,909,0.1077,0.0087,120,0.1586
14,912,0.1154,0.009,120,0.1676
15,915,0.1231,0.009,120,0.1766
16,918,0.1308,0.0082,120,0.1848
17,921,0.1385,0.0081,120,0.1929
18,924,0.1462,0.0089,120,0.2018
19,927,0.1538,0.0084,120,0.2102
20,930,0.1615,0.009,120,0.2192
21,933,0.1692,0.0077,120,0.2269
22,936,0.1769,0.0077,120,0.2346
23,939,0.1846,0.0075,120,0.2421
24,942,0.1923,0.0069,120,0.249
25,945,0.2,0.0072,120,0.2562
26,948,0.2077,0.0071,120,0.2633
27,951,0.2154,0.0071,120,0.2704
28,954,0.2231,0.0065,120,0.2769
29,957,0.2308,0.0062,120,0.2831
30,1000,0.2385,0.0079,120,0.291
31,1003,0.2462,0.007,120,0.298
32,1006,0.2538,0.0066,120,0.3046
33,1009,0.2615,0.0063,120,0.3109
34,1012,0.2692,0.0061,120,0.317
35,1015,0.2769,0.0065,120,0.3235
36,1018,0.2846,0.0063,120,0.3298
37,1021,0.2923,0.0059,120,0.3357
38,1024,0.3,0.006,120,0.3417
39,1027,0.3077,0.0064,120,0.3481
40,1030,0.3154,0.007,120,0.3551
41,1033,0.3231,0.0065,120,0.3616
42,1036,0.3308,0.0062,120,0.3678
43,1039,0.3385,0.0059,120,0.3737
44,1042,0.3462,0.0063,120,0.38
45,1045,0.3538,0.006,120,0.386
46,1048,0.3615,0.0052,120,0.3912
47,1051,0.3692,0.0058,120,0.397
48,1054,0.3769,0.006,120,0.403
49,1057,0.3846,0.0049,120,0.4079
50,1100,0.3923,0.0055,119,0.4134
51,1103,0.4,0.0052,119,0.4186
52,1106,0.4077,0.0051,119,0.4237
53,1109,0.4154,0.0053,119,0.429
54,1112,0.4231,0.005,119,0.434
55,1115,0.4308,0.005,119,0.439
56,1118,0.4385,0.0051,119,0.4441
57,1121,0.4462,0.0049,119,0.449
58,1124,0.4538,0.0048,119,0.4538
59,1127,0.4615,0.0048,119,0.4586
60,1130,0.4692,0.0058,119,0.4644
61,1133,0.4769,0.0053,119,0.4697
62,1136,0.4846,0.0049,119,0.4746
63,1139,0.4923,0.0048,119,0.4794
64,1142,0.5,0.0046,119,0.484
65,1145,0.5077,0.0048,119,0.4888
66,1148,0.5154,0.0047,119,0.4935
67,1151,0.5231,0.0045,119,0.498
68,1154,0.5308,0.0045,119,0.5025
69,1157,0.5385,0.0044,119,0.5069
70,1200,0.5462,0.0055,119,0.5124
71,1203,0.5538,0.0047,119,0.5171
72,1206,0.5615,0.0051,119,0.5222
73,1209,0.5692,0.0048,119,0.527
74,1212,0.5769,0.0048,119,0.5318
75,1215,0.5846,0.005,119,0.5368
76,1218,0.5923,0.0049,119,0.5417
77,1221,0.6,0.0049,119,0.5466
78,1224,0.6077,0.0049,119,0.5515
79,1227,0.6154,0.005,119,0.5565
80,1230,0.6231,0.0054,119,0.5619
81,1233,0.6308,0.0047,119,0.5666
82,1236,0.6385,0.0048,119,0.5714
83,1239,0.6462,0.005,119,0.5764
84,1242,0.6538,0.005,119,0.5814
85,1245,0.6615,0.0048,119,0.5862
86,1248,0.6692,0.0048,119,0.591
87,1251,0.6769,0.0046,119,0.5956
88,1254,0.6846,0.0051,119,0.6007
89,1257,0.6923,0.0049,119,0.6056
90,1300,0.7,0.0077,119,0.6133
91,1303,0.7077,0.0067,119,0.62
92,1306,0.7154,0.0065,119,0.6265
93,1309,0.7231,0.0062,119,0.6327
94,1312,0.7308,0.0054,119,0.6381
95,1315,0.7385,0.0058,119,0.6439
96,1318,0.7462,0.0055,119,0.6494
97,1321,0.7538,0.0055,119,0.6549
98,1324,0.7615,0.006,119,0.6609
99,1327,0.7692,0.0061,119,0.667
100,1330,0.7769,0.0068,119,0.6738
101,1333,0.7846,0.0064,119,0.6802
102,1336,0.7923,0.0061,119,0.6863
103,1339,0.8,0.0062,119,0.6925
104,1342,0.8077,0.0065,119,0.699
105,1345,0.8154,0.0067,119,0.7057
106,1348,0.8231,0.0065,119,0.7122
107,1351,0.8308,0.0066,119,0.7188
108,1354,0.8385,0.0066,119,0.7254
109,1357,0.8462,0.0068,119,0.7322
110,1400,0.8538,0.0076,119,0.7398
111,1403,0.8615,0.0084,119,0.7482
112,1406,0.8692,0.0076,119,0.7558
113,1409,0.8769,0.0073,119,0.7631
114,1412,0.8846,0.0077,119,0.7708
115,1415,0.8923,0.0075,119,0.7783
116,1418,0.9,0.0075,119,0.7858
117,1421,0.9077,0.0083,119,0.7941
118,1424,0.9154,0.0079,119,0.802
119,1427,0.9231,0.0084,119,0.8104
120,1430,0.9308,0.0103,119,0.8207
121,1433,0.9385,0.0105,119,0.8312
122,1436,0.9462,0.0112,119,0.8424
123,1439,0.9538,0.0113,119,0.8537
124,1442,0.9615,0.0124,119,0.8661
125,1445,0.9692,0.0149,119,0.881
126,1448,0.9769,0.0226,119,0.9036
127,1451,0.9846,0.0218,119,0.9254
128,1454,0.9923,0.0261,119,0.9515
129,1457,1.0,0.0534,119,1.0
